AppID,Nombre,Horas Totales,Horas Últimas 2 Semanas,Última Vez Jugado,Logros Totales,Logros Desbloqueados
571310,SteamWorld Dig 2,0.0,0.0,1969-12-31 19:00:00,34,0
1455900,Plunder Panic,0.0,0.0,1969-12-31 19:00:00,22,0
582660,Black Desert,0.0,0.0,1969-12-31 19:00:00,0,0
706220,Black Desert SA (Retired),0.0,0.0,1969-12-31 19:00:00,0,0
1677740,Stumble Guys,0.07,0.0,2022-09-18 16:26:24,36,0
346110,ARK: Survival Evolved,0.0,0.0,1969-12-31 19:00:00,32,0
407530,ARK: Survival Of The Fittest,0.0,0.0,1969-12-31 19:00:00,0,0
1881700,Undawn,0.0,0.0,1969-12-31 19:00:00,0,0
40990,Mafia,0.0,0.0,1969-12-31 19:00:00,0,0
576670,Sky Is Arrows,0.0,0.0,1969-12-31 19:00:00,58,0
2195250,EA SPORTS FC™ 24,32.73,0.0,2024-11-03 18:51:01,40,2
1872550,Destroy All Humans! – Clone Carnage,0.0,0.0,1969-12-31 19:00:00,38,0
2254920,Temtem: Showdown,0.0,0.0,1969-12-31 19:00:00,0,0
2334220,Home Sweet Home : Online,0.0,0.0,1969-12-31 19:00:00,0,0
1794490,Spy Rumble,0.0,0.0,1969-12-31 19:00:00,0,0
2373440,Miners Settlement,0.0,0.0,1969-12-31 19:00:00,0,0
2403430,Soccer Kids Alpha,0.0,0.0,1969-12-31 19:00:00,0,0
2430380,War Gun: Shooting Games Online,0.0,0.0,1969-12-31 19:00:00,0,0
2431660,Let's School Homeroom,0.0,0.0,1969-12-31 19:00:00,0,0
43160,Metro: Last Light Complete Edition,0.0,0.0,1969-12-31 19:00:00,70,0
2439510,Doomsday: Last Survivors,0.0,0.0,1969-12-31 19:00:00,0,0
933110,Age of Empires III: Definitive Edition,0.0,0.0,1969-12-31 19:00:00,88,0
383180,Dead Island Riptide Definitive Edition,0.0,0.0,1969-12-31 19:00:00,35,0
1176710,Space Crew: Legendary Edition,0.0,0.0,1969-12-31 19:00:00,30,0
2064870,Deceit 2,0.0,0.0,1969-12-31 19:00:00,10,0
1507190,Machinika Museum,0.0,0.0,1969-12-31 19:00:00,0,0
3001970,Coloring Game 5,0.0,0.0,1969-12-31 19:00:00,80,0
3035570,Assassin's Creed Mirage,31.57,0.0,2024-12-19 20:58:47,50,29
2071500,Islands of Insight,0.0,0.0,1969-12-31 19:00:00,0,0
3068700,ASH ECHOES,0.0,0.0,1969-12-31 19:00:00,0,0
628290,All Walls Must Fall,0.0,0.0,1969-12-31 19:00:00,153,0
3217600,Idle Sphere,0.0,0.0,1969-12-31 19:00:00,29,0
3245770,Pavlov TV,0.0,0.0,1969-12-31 19:00:00,0,0
3274300,Awaria,0.0,0.0,1969-12-31 19:00:00,8,0
321270,UNLOVED,0.0,0.0,1969-12-31 19:00:00,95,0
29900,Dark Sector,0.0,0.0,1969-12-31 19:00:00,0,0
418670,Pankapu,0.0,0.0,1969-12-31 19:00:00,56,0
2347910,Seal: WHAT the FUN,0.0,0.0,1969-12-31 19:00:00,30,0
729460,Distant Space 2,0.0,0.0,1969-12-31 19:00:00,150,0
813540,Scheming Through The Zombie Apocalypse: The Beginning,0.0,0.0,1969-12-31 19:00:00,19,0
